"","skeletons","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Mean",0.0292302500393089,-0.149930832619937,0.208391332698555,0.764715505217771,0.864461005898349
"2","v_extra_Mean",-0.10919797586628,-0.289606268250277,0.0712103165177169,0.201057780977536,0.815522838364242
"3","v_csf_Mean",-0.0621102391843218,-0.241162393000923,0.116941914632279,0.558440097822226,0.815522838364242
"4","micro_Rd_Mean",-0.0974260857066729,-0.264345736661419,0.0694935652480732,0.249747136509963,0.815522838364242
"5","micro_FA_Mean",0.0349119233684996,-0.144656488929237,0.214480335666236,0.718919896965875,0.849632605505125
"6","micro_Ax_Mean",-0.166443054785644,-0.349323083750467,0.0164369741791788,0.136919269699634,0.815522838364242
"7","micro_ADC_Mean",-0.142450172819708,-0.32002337845341,0.0351230328139933,0.13660114905145,0.815522838364242
"8","Dax_intra_Mean",-0.135476137025437,-0.318727847722089,0.0477755736712148,0.195694267266333,0.815522838364242
"9","Dax_extra_Mean",-0.157887389100708,-0.34099961166249,0.0252248334610747,0.134252029719117,0.815522838364242
"10","mk_Mean",0.0392352468787891,-0.135641331692002,0.21411182544958,0.627325260280186,0.815522838364242
"11","rk_Mean",0.0196831420166686,-0.151958319768131,0.191324603801468,0.820096416310844,0.888437784336748
"12","ak_Mean",0.0842496589379263,-0.0959201312761361,0.264419449151989,0.210088383958733,0.815522838364242
"13","FA_Mean",0.0598349434138976,-0.105293218695145,0.22496310552294,0.4947179663744,0.815522838364242
"14","MD_Mean",-0.057780034845373,-0.223493140553969,0.107933070863223,0.517610166650403,0.815522838364242
"15","RD_Mean",-0.0452898160334669,-0.208732816853376,0.118153184786442,0.614507164671287,0.815522838364242
"16","AD_Mean",-0.0719905610217548,-0.246877284590115,0.102896162546606,0.402251336810687,0.815522838364242
"17","smt_fa_Mean",0.0316896179478635,-0.145811040739186,0.209190276634913,0.686535123657351,0.849632605505125
"18","smt_long_Mean",-0.0584108867529549,-0.235520698440217,0.118698924934307,0.487722366025468,0.815522838364242
"19","smt_md_Mean",-0.0528935232359643,-0.223759032307713,0.117971985835784,0.537655042793192,0.815522838364242
"20","smt_trans_Mean",-0.046794333596333,-0.216672597834567,0.123083930641901,0.618880338412374,0.815522838364242
"21","smt_mc_intra_Mean",0.0691880401036812,-0.105341782094458,0.24371786230182,0.41519407274805,0.815522838364242
"22","smt_mc_extramd_Mean",-0.0646679592351449,-0.235947265091002,0.106611346620713,0.440788919278072,0.815522838364242
"23","smt_mc_extratrans_Mean",-0.0682089362098267,-0.236731285789014,0.10031341336936,0.430149537740141,0.815522838364242
"24","smt_mc_diff_Mean",0.0139320533466995,-0.169472068102267,0.197336174795666,0.86921278786182,0.903981299376293
"25","awf_Mean",0.0904764188320401,-0.0798906600094435,0.260843497673524,0.306327169664715,0.815522838364242
"26","radEAD_Mean",-0.00317269161265834,-0.185384769855829,0.179039386630512,0.961579706413205,0.961579706413205
